"EMF","EMN","EWF","EWN","ETF","ETN","UMF","UMN","UWF","UWN","UTF","UTN","PMF","PMN","PWF","PWN","PTF","PTN"
"Australia",79.9,78.1,64.3,71.8,72,74.9,4.7,5.8,6.5,5,5.5,5.4,83.8,82.9,68.8,75.5,76.2,79.2
"Austria",75.3,78,61.2,70.8,68,74.5,9.6,3.8,9.2,3.5,9.4,3.7,83.3,81.1,67.4,73.4,75.1,77.3
"Belgium",65.7,68.8,51.3,63.1,58.3,66,12.4,4.9,10.5,4.5,11.5,4.7,74.9,72.4,57.4,66.1,65.9,69.3
"Canada",78.4,76,66.6,72.7,72.3,74.4,6,6.3,6.7,5.1,6.4,5.7,83.4,81.1,71.4,76.6,77.3,78.9
"Czech Republic",88.1,81.5,70,67.5,79.4,74.6,1.8,1.8,3.4,2.8,2.5,2.3,89.8,83,72.5,69.5,81.4,76.4
"Denmark",72.6,79,60.4,74.9,66.4,77,9,4.3,10.7,4.3,9.8,4.3,79.7,82.5,67.7,78.3,73.6,80.5
"Finland",70,73.7,54.9,71.9,62.2,72.8,11.9,7.3,16.6,6.8,14.1,7.1,79.5,79.5,65.8,77.1,72.4,78.3
"France",67.9,69.1,50.3,63.9,58.5,66.5,13.8,8.4,15.6,8.3,14.6,8.3,78.7,75.4,59.6,69.7,68.5,72.5
"Germany",76.7,80.4,61.8,74.6,69.5,77.5,6.6,3.2,5.1,2.5,6,2.9,82.1,83.1,65.2,76.5,73.9,79.9
"Greece",67.9,64.5,40.4,45.8,52.8,55.1,22.9,14.8,35.2,23.3,28.6,18.6,88.1,75.6,62.3,59.7,73.9,67.7
"Hungary",78.6,76.2,64.8,62.3,71.7,69.2,4.3,3.5,4.9,4,4.6,3.7,82.2,79,68.2,64.9,75.2,71.9
"Iceland",87.1,87.6,78,83,82.5,85.4,5.2,2.7,5.1,2.3,5.1,2.5,91.8,90,82.2,84.9,87,87.6
"Ireland",78.4,72.8,63.3,63.2,70.7,68,6.4,5.8,8.2,5,7.2,5.4,83.7,77.3,68.9,66.6,76.2,71.9
"Italy",73.9,66.7,50.2,49.4,60.9,58.1,11.9,9.7,15.8,11.2,13.7,10.3,83.8,73.9,59.6,55.6,70.6,64.8
"Luxembourg",75.4,64.8,67.2,58.7,71.4,61.8,5.9,4.7,7,4.2,6.4,4.5,80.2,68,72.3,61.3,76.3,64.7
"Mexico",66.8,79.1,36.7,45.6,51.8,61.6,4.2,3.3,4.1,3.6,4.1,3.4,69.7,81.8,38.3,47.3,54.1,63.8
"Netherlands",73.5,82.8,57.5,75.5,64.9,79.2,6.1,3.4,7.9,3.4,7,3.4,78.3,85.7,62.5,78.2,69.8,82
"New Zealand",83.9,81.2,70.8,74.1,77.2,77.6,3.7,4.6,4.5,4.7,4.1,4.6,87.2,85.2,74.1,77.7,80.5,81.4
"Norway",74.1,77.8,65.1,75.1,69.7,76.5,7.5,3.3,8.3,2.5,7.9,2.9,80.1,80.4,71,77,75.6,78.7
"Poland",78.7,74,66.4,60.8,73,67.3,4.2,3.9,5.4,3.9,4.7,3.9,82.2,77,70.2,63.2,76.6,70.1
"Portugal",79.7,72.1,71.3,66.4,75.1,69.1,6.9,6.9,10,7.3,8.5,7.1,85.6,77.4,79.2,71.6,82.1,74.4
"Spain",68.5,67.8,55.6,57.1,61.6,62.6,19.1,12.7,22.3,15.9,20.7,14.2,84.6,77.7,71.6,67.9,77.6,72.9
"Sweden",70.5,81.5,63,80.1,66.7,80.8,15.4,4,16,3.7,15.7,3.9,83.3,84.9,75,83.2,79.1,84.1
"Switzerland",83.8,84.8,69.3,78.9,76.6,81.9,7,3.3,8.9,3.5,7.9,3.4,90.1,87.7,76.1,81.7,83.1,84.7
"Turkey",68.5,71,27.9,33,47.4,52.1,11.1,9.7,14.3,14,12.1,11.1,77.1,78.6,32.6,38.4,53.9,58.6
"United Kingdom",82.6,78.4,65.5,71.4,73.7,74.9,3.9,4.2,5.6,3.7,4.7,4,86,81.9,69.4,74.2,77.3,78
"United States",82.8,72.9,60.7,65.6,71.6,69.2,3,4.3,4.2,3.9,3.5,4.1,85.4,76.2,63.3,68.3,74.2,72.2
"Estonia",74.1,78.6,66.5,72,70.1,75.3,7.9,5.1,7.9,5.2,7.9,5.2,80.4,82.8,72.2,76,76.1,79.4
"Israel",80.8,69.6,77,63.5,78.8,66.6,3.8,4.2,3.2,4.3,3.5,4.3,84,72.7,79.6,66.4,81.6,69.6
"Slovenia",75.6,74.4,58,68.7,67,71.7,4.6,4.7,8.9,5.4,6.5,5.1,79.3,78.1,63.7,72.7,71.7,75.5
"Latvia",75.4,73.4,64,70.8,69,72.1,7.1,8.7,8.2,6.5,7.7,7.6,81.2,80.4,69.6,75.7,74.8,78
"Lithuania",73.6,73.3,68.9,71.7,71.1,72.5,8,7,6.9,5.5,7.4,6.3,80,78.8,74,75.9,76.8,77.3
